Ref,Val,Package,PosX,PosY,Rot,Side
"MK1","ICS-43434","MIC_ICS-43434",80.602662,108.837000,0.000000,bottom
"C1","10uf","C_0603_1608Metric",8.109222,94.022832,0.000000,top
"C2","0.1uf","C_0603_1608Metric",11.118349,94.022832,0.000000,top
"C3","0.1uf","C_0603_1608Metric",26.674564,97.676591,180.000000,top
"C4","0.1uf","C_0603_1608Metric",26.674564,109.682951,180.000000,top
"C6","0.1uf","C_0603_1608Metric",35.002662,96.800000,90.000000,top
"C7","22uf","C_1206_3216Metric",38.002662,96.750000,-90.000000,top
"C8","22uf","C_1206_3216Metric",38.002662,101.700000,-90.000000,top
"C9","0.1uf","C_0603_1608Metric",35.002662,101.775000,90.000000,top
"C10","0.1uf","C_0603_1608Metric",6.438669,84.472707,180.000000,top
"C11","10uf","C_0603_1608Metric",6.438669,85.972707,180.000000,top
"C12","0.1uf","C_0603_1608Metric",11.563335,84.472707,180.000000,top
"C13","10uf","C_0603_1608Metric",11.563335,85.972707,180.000000,top
"C14","0.1uf","C_0603_1608Metric",16.688001,84.472707,180.000000,top
"C15","10uf","C_0603_1608Metric",16.688001,85.972707,180.000000,top
"C16","0.1uf","C_0603_1608Metric",21.812667,84.472707,180.000000,top
"C17","10uf","C_0603_1608Metric",21.812667,85.972707,180.000000,top
"C18","0.1uf","C_0603_1608Metric",26.937333,84.472707,180.000000,top
"C19","10uf","C_0603_1608Metric",26.937333,85.972707,180.000000,top
"C20","0.1uf","C_0603_1608Metric",32.061999,84.472707,180.000000,top
"C21","10uf","C_0603_1608Metric",32.061999,85.972707,180.000000,top
"C22","0.1uf","C_0603_1608Metric",37.186665,84.472707,180.000000,top
"C23","10uf","C_0603_1608Metric",37.186665,85.972707,180.000000,top
"C24","0.1uf","C_0603_1608Metric",42.311331,84.472707,180.000000,top
"C25","10uf","C_0603_1608Metric",42.311331,85.972707,180.000000,top
"C26","0.1uf","C_0603_1608Metric",47.435997,84.472707,180.000000,top
"C27","10uf","C_0603_1608Metric",47.435997,85.972707,180.000000,top
"C28","0.1uf","C_0603_1608Metric",52.560663,84.472707,180.000000,top
"C29","10uf","C_0603_1608Metric",52.560663,85.972707,180.000000,top
"C30","0.1uf","C_0603_1608Metric",57.685329,84.472707,180.000000,top
"C31","10uf","C_0603_1608Metric",57.685329,85.972707,180.000000,top
"C32","0.1uf","C_0603_1608Metric",62.809995,84.472707,180.000000,top
"C33","10uf","C_0603_1608Metric",62.809995,85.972707,180.000000,top
"C34","0.1uf","C_0603_1608Metric",67.934661,84.472707,180.000000,top
"C35","10uf","C_0603_1608Metric",67.934661,85.972707,180.000000,top
"C36","0.1uf","C_0603_1608Metric",73.059327,84.472707,180.000000,top
"C37","10uf","C_0603_1608Metric",73.059327,85.972707,180.000000,top
"C38","0.1uf","C_0603_1608Metric",77.983669,84.472707,180.000000,top
"C39","10uf","C_0603_1608Metric",77.983669,85.972707,180.000000,top
"C40","0.1uf","C_0603_1608Metric",83.308669,84.472707,180.000000,top
"C41","10uf","C_0603_1608Metric",83.308669,85.972707,180.000000,top
"C42","0.1uf","C_0603_1608Metric",26.674564,105.182361,180.000000,top
"D1","WS2812B-2020","WS2812B2020",6.438669,82.236039,0.000000,top
"D2","WS2812B-2020","WS2812B2020",6.438669,77.079373,0.000000,top
"D3","WS2812B-2020","WS2812B2020",6.438669,71.922707,0.000000,top
"D4","WS2812B-2020","WS2812B2020",6.438669,66.766041,0.000000,top
"D5","WS2812B-2020","WS2812B2020",6.438669,61.609375,0.000000,top
"D6","WS2812B-2020","WS2812B2020",6.438669,56.452709,0.000000,top
"D7","WS2812B-2020","WS2812B2020",6.438669,51.296043,0.000000,top
"D8","WS2812B-2020","WS2812B2020",6.438669,46.139377,0.000000,top
"D9","WS2812B-2020","WS2812B2020",6.438669,40.982711,0.000000,top
"D10","WS2812B-2020","WS2812B2020",6.438669,35.826045,0.000000,top
"D11","WS2812B-2020","WS2812B2020",6.438669,30.669379,0.000000,top
"D12","WS2812B-2020","WS2812B2020",6.438669,25.512713,0.000000,top
"D13","WS2812B-2020","WS2812B2020",6.438669,20.356047,0.000000,top
"D14","WS2812B-2020","WS2812B2020",6.438669,15.199381,0.000000,top
"D15","WS2812B-2020","WS2812B2020",6.438669,10.042715,0.000000,top
"D16","WS2812B-2020","WS2812B2020",6.438669,4.886039,0.000000,top
"D17","WS2812B-2020","WS2812B2020",11.563335,82.236039,0.000000,top
"D18","WS2812B-2020","WS2812B2020",11.563335,77.079373,0.000000,top
"D19","WS2812B-2020","WS2812B2020",11.563335,71.922707,0.000000,top
"D20","WS2812B-2020","WS2812B2020",11.563335,66.766041,0.000000,top
"D21","WS2812B-2020","WS2812B2020",11.563335,61.609375,0.000000,top
"D22","WS2812B-2020","WS2812B2020",11.563335,56.452709,0.000000,top
"D23","WS2812B-2020","WS2812B2020",11.563335,51.296043,0.000000,top
"D24","WS2812B-2020","WS2812B2020",11.563335,46.139377,0.000000,top
"D25","WS2812B-2020","WS2812B2020",11.563335,40.982711,0.000000,top
"D26","WS2812B-2020","WS2812B2020",11.563335,35.826045,0.000000,top
"D27","WS2812B-2020","WS2812B2020",11.563335,30.669379,0.000000,top
"D28","WS2812B-2020","WS2812B2020",11.563335,25.512713,0.000000,top
"D29","WS2812B-2020","WS2812B2020",11.563335,20.356047,0.000000,top
"D30","WS2812B-2020","WS2812B2020",11.563335,15.199381,0.000000,top
"D31","WS2812B-2020","WS2812B2020",11.563335,10.042715,0.000000,top
"D32","WS2812B-2020","WS2812B2020",11.564093,4.886039,0.000000,top
"D33","WS2812B-2020","WS2812B2020",16.688001,82.236039,0.000000,top
"D34","WS2812B-2020","WS2812B2020",16.688001,77.079373,0.000000,top
"D35","WS2812B-2020","WS2812B2020",16.688001,71.922707,0.000000,top
"D36","WS2812B-2020","WS2812B2020",16.688001,66.766041,0.000000,top
"D37","WS2812B-2020","WS2812B2020",16.688001,61.609375,0.000000,top
"D38","WS2812B-2020","WS2812B2020",16.688001,56.452709,0.000000,top
"D39","WS2812B-2020","WS2812B2020",16.688001,51.296043,0.000000,top
"D40","WS2812B-2020","WS2812B2020",16.688001,46.139377,0.000000,top
"D41","WS2812B-2020","WS2812B2020",16.688001,40.982711,0.000000,top
"D42","WS2812B-2020","WS2812B2020",16.688001,35.826045,0.000000,top
"D43","WS2812B-2020","WS2812B2020",16.688001,30.669379,0.000000,top
"D44","WS2812B-2020","WS2812B2020",16.688001,25.512713,0.000000,top
"D45","WS2812B-2020","WS2812B2020",16.688001,20.356047,0.000000,top
"D46","WS2812B-2020","WS2812B2020",16.688001,15.199381,0.000000,top
"D47","WS2812B-2020","WS2812B2020",16.688001,10.042715,0.000000,top
"D48","WS2812B-2020","WS2812B2020",16.689517,4.886039,0.000000,top
"D49","WS2812B-2020","WS2812B2020",21.812667,82.236039,0.000000,top
"D50","WS2812B-2020","WS2812B2020",21.812667,77.079373,0.000000,top
"D51","WS2812B-2020","WS2812B2020",21.812667,71.922707,0.000000,top
"D52","WS2812B-2020","WS2812B2020",21.812667,66.766041,0.000000,top
"D53","WS2812B-2020","WS2812B2020",21.812667,61.609375,0.000000,top
"D54","WS2812B-2020","WS2812B2020",21.812667,56.452709,0.000000,top
"D55","WS2812B-2020","WS2812B2020",21.812667,51.296043,0.000000,top
"D56","WS2812B-2020","WS2812B2020",21.812667,46.139377,0.000000,top
"D57","WS2812B-2020","WS2812B2020",21.812667,40.982711,0.000000,top
"D58","WS2812B-2020","WS2812B2020",21.812667,35.826045,0.000000,top
"D59","WS2812B-2020","WS2812B2020",21.812667,30.669379,0.000000,top
"D60","WS2812B-2020","WS2812B2020",21.812667,25.512713,0.000000,top
"D61","WS2812B-2020","WS2812B2020",21.812667,20.356047,0.000000,top
"D62","WS2812B-2020","WS2812B2020",21.812667,15.199381,0.000000,top
"D63","WS2812B-2020","WS2812B2020",21.812667,10.042715,0.000000,top
"D64","WS2812B-2020","WS2812B2020",21.814941,4.886039,0.000000,top
"D65","WS2812B-2020","WS2812B2020",26.937333,82.236039,0.000000,top
"D66","WS2812B-2020","WS2812B2020",26.937333,77.079373,0.000000,top
"D67","WS2812B-2020","WS2812B2020",26.937333,71.922707,0.000000,top
"D68","WS2812B-2020","WS2812B2020",26.937333,66.766041,0.000000,top
"D69","WS2812B-2020","WS2812B2020",26.937333,61.609375,0.000000,top
"D70","WS2812B-2020","WS2812B2020",26.937333,56.452709,0.000000,top
"D71","WS2812B-2020","WS2812B2020",26.937333,51.296043,0.000000,top
"D72","WS2812B-2020","WS2812B2020",26.937333,46.139377,0.000000,top
"D73","WS2812B-2020","WS2812B2020",26.937333,40.982711,0.000000,top
"D74","WS2812B-2020","WS2812B2020",26.937333,35.826045,0.000000,top
"D75","WS2812B-2020","WS2812B2020",26.937333,30.669379,0.000000,top
"D76","WS2812B-2020","WS2812B2020",26.937333,25.512713,0.000000,top
"D77","WS2812B-2020","WS2812B2020",26.937333,20.356047,0.000000,top
"D78","WS2812B-2020","WS2812B2020",26.937333,15.199381,0.000000,top
"D79","WS2812B-2020","WS2812B2020",26.937333,10.042715,0.000000,top
"D80","WS2812B-2020","WS2812B2020",26.940365,4.886039,0.000000,top
"D81","WS2812B-2020","WS2812B2020",32.061999,82.236039,0.000000,top
"D82","WS2812B-2020","WS2812B2020",32.061999,77.079373,0.000000,top
"D83","WS2812B-2020","WS2812B2020",32.061999,71.922707,0.000000,top
"D84","WS2812B-2020","WS2812B2020",32.061999,66.766041,0.000000,top
"D85","WS2812B-2020","WS2812B2020",32.061999,61.609375,0.000000,top
"D86","WS2812B-2020","WS2812B2020",32.061999,56.452709,0.000000,top
"D87","WS2812B-2020","WS2812B2020",32.061999,51.296043,0.000000,top
"D88","WS2812B-2020","WS2812B2020",32.061999,46.139377,0.000000,top
"D89","WS2812B-2020","WS2812B2020",32.061999,40.982711,0.000000,top
"D90","WS2812B-2020","WS2812B2020",32.061999,35.826045,0.000000,top
"D91","WS2812B-2020","WS2812B2020",32.061999,30.669379,0.000000,top
"D92","WS2812B-2020","WS2812B2020",32.061999,25.512713,0.000000,top
"D93","WS2812B-2020","WS2812B2020",32.061999,20.356047,0.000000,top
"D94","WS2812B-2020","WS2812B2020",32.061999,15.199381,0.000000,top
"D95","WS2812B-2020","WS2812B2020",32.061999,10.042715,0.000000,top
"D96","WS2812B-2020","WS2812B2020",32.065789,4.886039,0.000000,top
"D97","WS2812B-2020","WS2812B2020",37.186665,82.236039,0.000000,top
"D98","WS2812B-2020","WS2812B2020",37.186665,77.079373,0.000000,top
"D99","WS2812B-2020","WS2812B2020",37.186665,71.922707,0.000000,top
"D100","WS2812B-2020","WS2812B2020",37.186665,66.766041,0.000000,top
"D101","WS2812B-2020","WS2812B2020",37.186665,61.609375,0.000000,top
"D102","WS2812B-2020","WS2812B2020",37.186665,56.452709,0.000000,top
"D103","WS2812B-2020","WS2812B2020",37.186665,51.296043,0.000000,top
"D104","WS2812B-2020","WS2812B2020",37.186665,46.139377,0.000000,top
"D105","WS2812B-2020","WS2812B2020",37.186665,40.982711,0.000000,top
"D106","WS2812B-2020","WS2812B2020",37.186665,35.826045,0.000000,top
"D107","WS2812B-2020","WS2812B2020",37.186665,30.669379,0.000000,top
"D108","WS2812B-2020","WS2812B2020",37.186665,25.512713,0.000000,top
"D109","WS2812B-2020","WS2812B2020",37.186665,20.356047,0.000000,top
"D110","WS2812B-2020","WS2812B2020",37.186665,15.199381,0.000000,top
"D111","WS2812B-2020","WS2812B2020",37.186665,10.042715,0.000000,top
"D112","WS2812B-2020","WS2812B2020",37.191213,4.886039,0.000000,top
"D113","WS2812B-2020","WS2812B2020",42.311331,82.236039,0.000000,top
"D114","WS2812B-2020","WS2812B2020",42.311331,77.079373,0.000000,top
"D115","WS2812B-2020","WS2812B2020",42.311331,71.922707,0.000000,top
"D116","WS2812B-2020","WS2812B2020",42.311331,66.766041,0.000000,top
"D117","WS2812B-2020","WS2812B2020",42.311331,61.609375,0.000000,top
"D118","WS2812B-2020","WS2812B2020",42.311331,56.452709,0.000000,top
"D119","WS2812B-2020","WS2812B2020",42.311331,51.296043,0.000000,top
"D120","WS2812B-2020","WS2812B2020",42.311331,46.139377,0.000000,top
"D121","WS2812B-2020","WS2812B2020",42.311331,40.982711,0.000000,top
"D122","WS2812B-2020","WS2812B2020",42.311331,35.826045,0.000000,top
"D123","WS2812B-2020","WS2812B2020",42.311331,30.669379,0.000000,top
"D124","WS2812B-2020","WS2812B2020",42.311331,25.512713,0.000000,top
"D125","WS2812B-2020","WS2812B2020",42.311331,20.356047,0.000000,top
"D126","WS2812B-2020","WS2812B2020",42.311331,15.199381,0.000000,top
"D127","WS2812B-2020","WS2812B2020",42.311331,10.042715,0.000000,top
"D128","WS2812B-2020","WS2812B2020",42.316637,4.886039,0.000000,top
"D129","WS2812B-2020","WS2812B2020",47.435997,82.236039,0.000000,top
"D130","WS2812B-2020","WS2812B2020",47.435997,77.079373,0.000000,top
"D131","WS2812B-2020","WS2812B2020",47.435997,71.922707,0.000000,top
"D132","WS2812B-2020","WS2812B2020",47.435997,66.766041,0.000000,top
"D133","WS2812B-2020","WS2812B2020",47.435997,61.609375,0.000000,top
"D134","WS2812B-2020","WS2812B2020",47.435997,56.452709,0.000000,top
"D135","WS2812B-2020","WS2812B2020",47.435997,51.296043,0.000000,top
"D136","WS2812B-2020","WS2812B2020",47.435997,46.139377,0.000000,top
"D137","WS2812B-2020","WS2812B2020",47.435997,40.982711,0.000000,top
"D138","WS2812B-2020","WS2812B2020",47.435997,35.826045,0.000000,top
"D139","WS2812B-2020","WS2812B2020",47.435997,30.669379,0.000000,top
"D140","WS2812B-2020","WS2812B2020",47.435997,25.512713,0.000000,top
"D141","WS2812B-2020","WS2812B2020",47.435997,20.356047,0.000000,top
"D142","WS2812B-2020","WS2812B2020",47.435997,15.199381,0.000000,top
"D143","WS2812B-2020","WS2812B2020",47.435997,10.042715,0.000000,top
"D144","WS2812B-2020","WS2812B2020",47.442061,4.886039,0.000000,top
"D145","WS2812B-2020","WS2812B2020",52.560663,82.236039,0.000000,top
"D146","WS2812B-2020","WS2812B2020",52.560663,77.079373,0.000000,top
"D147","WS2812B-2020","WS2812B2020",52.560663,71.922707,0.000000,top
"D148","WS2812B-2020","WS2812B2020",52.560663,66.766041,0.000000,top
"D149","WS2812B-2020","WS2812B2020",52.560663,61.609375,0.000000,top
"D150","WS2812B-2020","WS2812B2020",52.560663,56.452709,0.000000,top
"D151","WS2812B-2020","WS2812B2020",52.560663,51.296043,0.000000,top
"D152","WS2812B-2020","WS2812B2020",52.560663,46.139377,0.000000,top
"D153","WS2812B-2020","WS2812B2020",52.560663,40.982711,0.000000,top
"D154","WS2812B-2020","WS2812B2020",52.560663,35.826045,0.000000,top
"D155","WS2812B-2020","WS2812B2020",52.560663,30.669379,0.000000,top
"D156","WS2812B-2020","WS2812B2020",52.560663,25.512713,0.000000,top
"D157","WS2812B-2020","WS2812B2020",52.560663,20.356047,0.000000,top
"D158","WS2812B-2020","WS2812B2020",52.560663,15.199381,0.000000,top
"D159","WS2812B-2020","WS2812B2020",52.560663,10.042715,0.000000,top
"D160","WS2812B-2020","WS2812B2020",52.567485,4.886039,0.000000,top
"D161","WS2812B-2020","WS2812B2020",57.685329,82.236039,0.000000,top
"D162","WS2812B-2020","WS2812B2020",57.685329,77.079373,0.000000,top
"D163","WS2812B-2020","WS2812B2020",57.685329,71.922707,0.000000,top
"D164","WS2812B-2020","WS2812B2020",57.685329,66.766041,0.000000,top
"D165","WS2812B-2020","WS2812B2020",57.685329,61.609375,0.000000,top
"D166","WS2812B-2020","WS2812B2020",57.685329,56.452709,0.000000,top
"D167","WS2812B-2020","WS2812B2020",57.685329,51.296043,0.000000,top
"D168","WS2812B-2020","WS2812B2020",57.685329,46.139377,0.000000,top
"D169","WS2812B-2020","WS2812B2020",57.685329,40.982711,0.000000,top
"D170","WS2812B-2020","WS2812B2020",57.685329,35.826045,0.000000,top
"D171","WS2812B-2020","WS2812B2020",57.685329,30.669379,0.000000,top
"D172","WS2812B-2020","WS2812B2020",57.685329,25.512713,0.000000,top
"D173","WS2812B-2020","WS2812B2020",57.685329,20.356047,0.000000,top
"D174","WS2812B-2020","WS2812B2020",57.685329,15.199381,0.000000,top
"D175","WS2812B-2020","WS2812B2020",57.685329,10.042715,0.000000,top
"D176","WS2812B-2020","WS2812B2020",57.692909,4.886039,0.000000,top
"D177","WS2812B-2020","WS2812B2020",62.809995,82.236039,0.000000,top
"D178","WS2812B-2020","WS2812B2020",62.809995,77.079373,0.000000,top
"D179","WS2812B-2020","WS2812B2020",62.809995,71.922707,0.000000,top
"D180","WS2812B-2020","WS2812B2020",62.809995,66.766041,0.000000,top
"D181","WS2812B-2020","WS2812B2020",62.809995,61.609375,0.000000,top
"D182","WS2812B-2020","WS2812B2020",62.809995,56.452709,0.000000,top
"D183","WS2812B-2020","WS2812B2020",62.809995,51.296043,0.000000,top
"D184","WS2812B-2020","WS2812B2020",62.809995,46.139377,0.000000,top
"D185","WS2812B-2020","WS2812B2020",62.809995,40.982711,0.000000,top
"D186","WS2812B-2020","WS2812B2020",62.809995,35.826045,0.000000,top
"D187","WS2812B-2020","WS2812B2020",62.809995,30.669379,0.000000,top
"D188","WS2812B-2020","WS2812B2020",62.809995,25.512713,0.000000,top
"D189","WS2812B-2020","WS2812B2020",62.809995,20.356047,0.000000,top
"D190","WS2812B-2020","WS2812B2020",62.809995,15.199381,0.000000,top
"D191","WS2812B-2020","WS2812B2020",62.809995,10.042715,0.000000,top
"D192","WS2812B-2020","WS2812B2020",62.818333,4.886039,0.000000,top
"D193","WS2812B-2020","WS2812B2020",67.934661,82.236039,0.000000,top
"D194","WS2812B-2020","WS2812B2020",67.934661,77.079373,0.000000,top
"D195","WS2812B-2020","WS2812B2020",67.934661,71.922707,0.000000,top
"D196","WS2812B-2020","WS2812B2020",67.934661,66.766041,0.000000,top
"D197","WS2812B-2020","WS2812B2020",67.934661,61.609375,0.000000,top
"D198","WS2812B-2020","WS2812B2020",67.934661,56.452709,0.000000,top
"D199","WS2812B-2020","WS2812B2020",67.934661,51.296043,0.000000,top
"D200","WS2812B-2020","WS2812B2020",67.934661,46.139377,0.000000,top
"D201","WS2812B-2020","WS2812B2020",67.934661,40.982711,0.000000,top
"D202","WS2812B-2020","WS2812B2020",67.934661,35.826045,0.000000,top
"D203","WS2812B-2020","WS2812B2020",67.934661,30.669379,0.000000,top
"D204","WS2812B-2020","WS2812B2020",67.934661,25.512713,0.000000,top
"D205","WS2812B-2020","WS2812B2020",67.934661,20.356047,0.000000,top
"D206","WS2812B-2020","WS2812B2020",67.934661,15.199381,0.000000,top
"D207","WS2812B-2020","WS2812B2020",67.934661,10.042715,0.000000,top
"D208","WS2812B-2020","WS2812B2020",67.943757,4.886039,0.000000,top
"D209","WS2812B-2020","WS2812B2020",73.059327,82.236039,0.000000,top
"D210","WS2812B-2020","WS2812B2020",73.059327,77.079373,0.000000,top
"D211","WS2812B-2020","WS2812B2020",73.059327,71.922707,0.000000,top
"D212","WS2812B-2020","WS2812B2020",73.059327,66.766041,0.000000,top
"D213","WS2812B-2020","WS2812B2020",73.059327,61.609375,0.000000,top
"D214","WS2812B-2020","WS2812B2020",73.059327,56.452709,0.000000,top
"D215","WS2812B-2020","WS2812B2020",73.059327,51.296043,0.000000,top
"D216","WS2812B-2020","WS2812B2020",73.059327,46.139377,0.000000,top
"D217","WS2812B-2020","WS2812B2020",73.059327,40.982711,0.000000,top
"D218","WS2812B-2020","WS2812B2020",73.059327,35.826045,0.000000,top
"D219","WS2812B-2020","WS2812B2020",73.059327,30.669379,0.000000,top
"D220","WS2812B-2020","WS2812B2020",73.059327,25.512713,0.000000,top
"D221","WS2812B-2020","WS2812B2020",73.059327,20.356047,0.000000,top
"D222","WS2812B-2020","WS2812B2020",73.059327,15.199381,0.000000,top
"D223","WS2812B-2020","WS2812B2020",73.059327,10.042715,0.000000,top
"D224","WS2812B-2020","WS2812B2020",73.069181,4.886039,0.000000,top
"D225","WS2812B-2020","WS2812B2020",78.183993,82.236039,0.000000,top
"D226","WS2812B-2020","WS2812B2020",78.183993,77.079373,0.000000,top
"D227","WS2812B-2020","WS2812B2020",78.183993,71.922707,0.000000,top
"D228","WS2812B-2020","WS2812B2020",78.183993,66.766041,0.000000,top
"D229","WS2812B-2020","WS2812B2020",78.183993,61.609375,0.000000,top
"D230","WS2812B-2020","WS2812B2020",78.183993,56.452709,0.000000,top
"D231","WS2812B-2020","WS2812B2020",78.183993,51.296043,0.000000,top
"D232","WS2812B-2020","WS2812B2020",78.183993,46.139377,0.000000,top
"D233","WS2812B-2020","WS2812B2020",78.183993,40.982711,0.000000,top
"D234","WS2812B-2020","WS2812B2020",78.183993,35.826045,0.000000,top
"D235","WS2812B-2020","WS2812B2020",78.183993,30.669379,0.000000,top
"D236","WS2812B-2020","WS2812B2020",78.183993,25.512713,0.000000,top
"D237","WS2812B-2020","WS2812B2020",78.183993,20.356047,0.000000,top
"D238","WS2812B-2020","WS2812B2020",78.183993,15.199381,0.000000,top
"D239","WS2812B-2020","WS2812B2020",78.183993,10.042715,0.000000,top
"D240","WS2812B-2020","WS2812B2020",78.194605,4.886039,0.000000,top
"D241","WS2812B-2020","WS2812B2020",83.308669,82.186039,0.000000,top
"D242","WS2812B-2020","WS2812B2020",83.308669,77.079373,0.000000,top
"D243","WS2812B-2020","WS2812B2020",83.308669,71.922707,0.000000,top
"D244","WS2812B-2020","WS2812B2020",83.308669,66.766041,0.000000,top
"D245","WS2812B-2020","WS2812B2020",83.308669,61.609375,0.000000,top
"D246","WS2812B-2020","WS2812B2020",83.308669,56.452709,0.000000,top
"D247","WS2812B-2020","WS2812B2020",83.308669,51.296043,0.000000,top
"D248","WS2812B-2020","WS2812B2020",83.308669,46.139377,0.000000,top
"D249","WS2812B-2020","WS2812B2020",83.308669,40.982711,0.000000,top
"D250","WS2812B-2020","WS2812B2020",83.308669,35.826045,0.000000,top
"D251","WS2812B-2020","WS2812B2020",83.308669,30.669379,0.000000,top
"D252","WS2812B-2020","WS2812B2020",83.308669,25.512713,0.000000,top
"D253","WS2812B-2020","WS2812B2020",83.308669,20.356047,0.000000,top
"D254","WS2812B-2020","WS2812B2020",83.308669,15.199381,0.000000,top
"D255","WS2812B-2020","WS2812B2020",83.308669,10.042715,0.000000,top
"D256","WS2812B-2020","WS2812B2020",83.320034,4.836918,0.000000,top
"J1","Micro-USB","USB_Micro-B_Molex-105017-0001",45.026331,108.290998,180.000000,top
"J2","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",42.501331,88.500000,90.000000,top
"J3","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",42.501331,92.535034,90.000000,top
"J4","GND VIN","PinHeader_1x02_P2.54mm_Vertical",34.827662,108.900000,90.000000,top
"R1","10k","R_0603_1608Metric",15.527861,94.014618,0.000000,top
"R2","10k","R_0603_1608Metric",26.674564,99.182361,0.000000,top
"R3","10k","R_0603_1608Metric",26.674564,108.178468,0.000000,top
"R4","100k","R_0603_1608Metric",26.674564,100.682361,180.000000,top
"R5","100k","R_0603_1608Metric",26.674564,102.182361,180.000000,top
"R6","10k","R_0603_1608Metric",26.674564,106.682361,0.000000,top
"R7","10k","R_0603_1608Metric",26.674564,103.682361,0.000000,top
"R8","0","R_0603_1608Metric",32.227662,94.500000,0.000000,top
"S1","SKRTLAE010","SKRTLAE010",54.777662,109.800000,180.000000,top
"S2","SKRTLAE010","SKRTLAE010",62.540906,109.800000,180.000000,top
"S3","SKRTLAE010","SKRTLAE010",88.587932,107.032327,90.000000,top
"SW1","~","SW-TH_SK12D07VG3",72.152662,108.650000,180.000000,top
"U1","ESP32-C3-MINI-1-N4","XCVR_ESP32-C3-MINI-1-N4",8.902861,103.264618,90.000000,top
"U2","LTR-329ALS-01","SENSOR_LTR-329ALS-01",87.927662,98.450000,0.000000,top
"U3","SHT41-AD1B-R2","SHT4X",88.102662,101.650000,0.000000,top
"U4","AMS1117-3.3","SOT229P700X180-4N",45.502662,99.171000,0.000000,top
